# Version 1.00
#
freq[Hz];re:Trc2_S12;im:Trc2_S12;re:Trc3_S12;im:Trc3_S12;
1.000000000000000E+08;8.993228012960858E-01;-4.155664281299243E-01;8.993228012960858E-01;-4.155664281299243E-01;
1.122500000000000E+08;8.746558585264422E-01;-4.615874778707380E-01;8.746558585264422E-01;-4.615874778707380E-01;
1.245000000000000E+08;8.477528808285448E-01;-5.057793144450081E-01;8.477528808285448E-01;-5.057793144450081E-01;
1.367500000000000E+08;8.182811784583737E-01;-5.486271175425882E-01;8.182811784583737E-01;-5.486271175425882E-01;
1.490000000000000E+08;7.865350945777990E-01;-5.897140943456637E-01;7.865350945777990E-01;-5.897140943456637E-01;
1.612500000000000E+08;7.527391912544358E-01;-6.284621244501257E-01;7.527391912544358E-01;-6.284621244501257E-01;
1.735000000000000E+08;7.171299097157948E-01;-6.654733588683925E-01;7.171299097157948E-01;-6.654733588683925E-01;
1.857500000000000E+08;6.794443918910471E-01;-7.004817295074903E-01;6.794443918910471E-01;-7.004817295074903E-01;
1.980000000000000E+08;6.399066079835649E-01;-7.329249268667657E-01;6.399066079835649E-01;-7.329249268667657E-01;
2.102500000000000E+08;5.988853033547857E-01;-7.634214241461039E-01;5.988853033547857E-01;-7.634214241461039E-01;
2.225000000000000E+08;5.565016397921471E-01;-7.910119180666194E-01;5.565016397921471E-01;-7.910119180666194E-01;
2.347500000000000E+08;5.128961063491405E-01;-8.162934023641910E-01;5.128961063491405E-01;-8.162934023641910E-01;
2.470000000000000E+08;4.679040549027049E-01;-8.392007260893429E-01;4.679040549027049E-01;-8.392007260893429E-01;
2.592500000000000E+08;4.223147025096561E-01;-8.592018377953916E-01;4.223147025096561E-01;-8.592018377953916E-01;
2.715000000000000E+08;3.755634637677309E-01;-8.771969347037494E-01;3.755634637677309E-01;-8.771969347037494E-01;
2.837500000000000E+08;3.282421687907117E-01;-8.919167208200597E-01;3.282421687907117E-01;-8.919167208200597E-01;
2.960000000000000E+08;2.804568526776682E-01;-9.042878101739011E-01;2.804568526776682E-01;-9.042878101739011E-01;
3.082500000000000E+08;2.321971544709793E-01;-9.139353128609458E-01;2.321971544709793E-01;-9.139353128609458E-01;
3.205000000000000E+08;1.835603153443615E-01;-9.209726168388322E-01;1.835603153443615E-01;-9.209726168388322E-01;
3.327500000000000E+08;1.351854861173686E-01;-9.251349735432448E-01;1.351854861173686E-01;-9.251349735432448E-01;
3.450000000000000E+08;8.688958931202942E-02;-9.270101412162592E-01;8.688958931202942E-02;-9.270101412162592E-01;
3.572500000000000E+08;3.856330044328834E-02;-9.260749836894172E-01;3.856330044328834E-02;-9.260749836894172E-01;
3.695000000000000E+08;-9.235063465446438E-03;-9.222653554879919E-01;-9.235063465446438E-03;-9.222653554879919E-01;
3.817500000000000E+08;-5.622217630691759E-02;-9.162044287301147E-01;-5.622217630691759E-02;-9.162044287301147E-01;
3.940000000000000E+08;-1.022938809968019E-01;-9.079801626727823E-01;-1.022938809968019E-01;-9.079801626727823E-01;
4.062500000000000E+08;-1.483845196605700E-01;-8.973602957502498E-01;-1.483845196605700E-01;-8.973602957502498E-01;
4.185000000000000E+08;-1.936007172930439E-01;-8.841993055069461E-01;-1.936007172930439E-01;-8.841993055069461E-01;
4.307500000000000E+08;-2.376906560064158E-01;-8.685926121051535E-01;-2.376906560064158E-01;-8.685926121051535E-01;
4.430000000000000E+08;-2.803460171765241E-01;-8.504665434015308E-01;-2.803460171765241E-01;-8.504665434015308E-01;
4.552500000000000E+08;-3.215395866835520E-01;-8.302013739680176E-01;-3.215395866835520E-01;-8.302013739680176E-01;
4.675000000000000E+08;-3.612112139095096E-01;-8.085895500214492E-01;-3.612112139095096E-01;-8.085895500214492E-01;
4.797500000000000E+08;-3.993856304890701E-01;-7.850857239553973E-01;-3.993856304890701E-01;-7.850857239553973E-01;
4.920000000000000E+08;-4.363819893760701E-01;-7.596232593183566E-01;-4.363819893760701E-01;-7.596232593183566E-01;
5.042500000000000E+08;-4.720923534648154E-01;-7.327623380417210E-01;-4.720923534648154E-01;-7.327623380417210E-01;
5.165000000000000E+08;-5.059425813175469E-01;-7.038765957655817E-01;-5.059425813175469E-01;-7.038765957655817E-01;
5.287500000000000E+08;-5.381724386439325E-01;-6.732479022118908E-01;-5.381724386439325E-01;-6.732479022118908E-01;
5.410000000000000E+08;-5.681716519314393E-01;-6.411052355380257E-01;-5.681716519314393E-01;-6.411052355380257E-01;
5.532500000000000E+08;-5.961455811442586E-01;-6.079608254406869E-01;-5.961455811442586E-01;-6.079608254406869E-01;
5.655000000000000E+08;-6.221080295572717E-01;-5.738026127270329E-01;-6.221080295572717E-01;-5.738026127270329E-01;
5.777500000000000E+08;-6.461349258305339E-01;-5.387953544738956E-01;-6.461349258305339E-01;-5.387953544738956E-01;
5.900000000000000E+08;-6.683920835987037E-01;-5.027625533235897E-01;-6.683920835987037E-01;-5.027625533235897E-01;
6.022500000000000E+08;-6.888813130775081E-01;-4.658710814385728E-01;-6.888813130775081E-01;-4.658710814385728E-01;
6.145000000000000E+08;-7.071270396494584E-01;-4.279918071734512E-01;-7.071270396494584E-01;-4.279918071734512E-01;
6.267500000000000E+08;-7.232830359661943E-01;-3.895879795309610E-01;-7.232830359661943E-01;-3.895879795309610E-01;
6.390000000000000E+08;-7.372530832973042E-01;-3.511289436951867E-01;-7.372530832973042E-01;-3.511289436951867E-01;
6.512500000000000E+08;-7.488748967504260E-01;-3.118804185798347E-01;-7.488748967504260E-01;-3.118804185798347E-01;
6.635000000000000E+08;-7.587970147669063E-01;-2.726779036363770E-01;-7.587970147669063E-01;-2.726779036363770E-01;
6.757500000000000E+08;-7.667660060960179E-01;-2.332751063429140E-01;-7.667660060960179E-01;-2.332751063429140E-01;
6.880000000000000E+08;-7.726213136336465E-01;-1.939872862545965E-01;-7.726213136336465E-01;-1.939872862545965E-01;
7.002500000000000E+08;-7.766965563332255E-01;-1.548118052013070E-01;-7.766965563332255E-01;-1.548118052013070E-01;
7.125000000000000E+08;-7.786213644542805E-01;-1.154594874235814E-01;-7.786213644542805E-01;-1.154594874235814E-01;
7.247500000000000E+08;-7.785951095361899E-01;-7.643794580359900E-02;-7.785951095361899E-01;-7.643794580359900E-02;
7.370000000000000E+08;-7.768352955059268E-01;-3.773714486625550E-02;-7.768352955059268E-01;-3.773714486625550E-02;
7.492500000000000E+08;-7.728800151090645E-01;4.029969740068058E-04;-7.728800151090645E-01;4.029969740068058E-04;
7.615000000000000E+08;-7.673524183733358E-01;3.840364855329695E-02;-7.673524183733358E-01;3.840364855329695E-02;
7.737500000000000E+08;-7.597720375557615E-01;7.535419651223316E-02;-7.597720375557615E-01;7.535419651223316E-02;
7.860000000000000E+08;-7.508668348121180E-01;1.114515952083459E-01;-7.508668348121180E-01;1.114515952083459E-01;
7.982500000000000E+08;-7.402566361998273E-01;1.468013097983679E-01;-7.402566361998273E-01;1.468013097983679E-01;
8.105000000000000E+08;-7.284639006665681E-01;1.817574371080677E-01;-7.284639006665681E-01;1.817574371080677E-01;
8.227500000000000E+08;-7.145367847371449E-01;2.160080982769211E-01;-7.145367847371449E-01;2.160080982769211E-01;
8.350000000000000E+08;-6.992770376812603E-01;2.491627271561320E-01;-6.992770376812603E-01;2.491627271561320E-01;
8.472500000000000E+08;-6.824994113864538E-01;2.815592378860858E-01;-6.824994113864538E-01;2.815592378860858E-01;
8.595000000000000E+08;-6.641817347653809E-01;3.125638096546914E-01;-6.641817347653809E-01;3.125638096546914E-01;
8.717500000000000E+08;-6.446126534787365E-01;3.421927017837704E-01;-6.446126534787365E-01;3.421927017837704E-01;
8.840000000000000E+08;-6.240132210748129E-01;3.709376126113127E-01;-6.240132210748129E-01;3.709376126113127E-01;
8.962500000000000E+08;-6.022876833922473E-01;3.984362098196906E-01;-6.022876833922473E-01;3.984362098196906E-01;
9.085000000000000E+08;-5.797505799959278E-01;4.251169709342402E-01;-5.797505799959278E-01;4.251169709342402E-01;
9.207500000000000E+08;-5.558778764871950E-01;4.504322005725680E-01;-5.558778764871950E-01;4.504322005725680E-01;
9.330000000000000E+08;-5.307207815721601E-01;4.747144487975822E-01;-5.307207815721601E-01;4.747144487975822E-01;
9.452500000000000E+08;-5.043894881478400E-01;4.974976113472928E-01;-5.043894881478400E-01;4.974976113472928E-01;
9.575000000000000E+08;-4.771806459106916E-01;5.184073836753484E-01;-4.771806459106916E-01;5.184073836753484E-01;
9.697500000000000E+08;-4.497294202881210E-01;5.379063456201275E-01;-4.497294202881210E-01;5.379063456201275E-01;
9.820000000000000E+08;-4.214125710214366E-01;5.559446973298113E-01;-4.214125710214366E-01;5.559446973298113E-01;
9.942500000000000E+08;-3.929590590697996E-01;5.727803479568186E-01;-3.929590590697996E-01;5.727803479568186E-01;
1.006500000000000E+09;-3.638376085560059E-01;5.887240939414025E-01;-3.638376085560059E-01;5.887240939414025E-01;
1.018750000000000E+09;-3.336333769858944E-01;6.032499041163504E-01;-3.336333769858944E-01;6.032499041163504E-01;
1.031000000000000E+09;-3.027150985952368E-01;6.162464246002283E-01;-3.027150985952368E-01;6.162464246002283E-01;
1.043250000000000E+09;-2.712104894096013E-01;6.278451850623451E-01;-2.712104894096013E-01;6.278451850623451E-01;
1.055500000000000E+09;-2.395402919063110E-01;6.371016578295068E-01;-2.395402919063110E-01;6.371016578295068E-01;
1.067750000000000E+09;-2.078467819827304E-01;6.449653882022536E-01;-2.078467819827304E-01;6.449653882022536E-01;
1.080000000000000E+09;-1.762229407289411E-01;6.512559021660860E-01;-1.762229407289411E-01;6.512559021660860E-01;
1.092250000000000E+09;-1.448856878361342E-01;6.563807509811379E-01;-1.448856878361342E-01;6.563807509811379E-01;
1.104500000000000E+09;-1.133952180184798E-01;6.603656889029329E-01;-1.133952180184798E-01;6.603656889029329E-01;
1.116750000000000E+09;-8.135726496364973E-02;6.633465600925387E-01;-8.135726496364973E-02;6.633465600925387E-01;
1.129000000000000E+09;-4.911959637912690E-02;6.644674316522839E-01;-4.911959637912690E-02;6.644674316522839E-01;
1.141250000000000E+09;-1.690999512956226E-02;6.642742464068122E-01;-1.690999512956226E-02;6.642742464068122E-01;
1.153500000000000E+09;1.549509414105392E-02;6.621361346595257E-01;1.549509414105392E-02;6.621361346595257E-01;
1.165750000000000E+09;4.694422891120854E-02;6.580407595585891E-01;4.694422891120854E-02;6.580407595585891E-01;
1.178000000000000E+09;7.765427353913798E-02;6.528047011351863E-01;7.765427353913798E-02;6.528047011351863E-01;
1.190250000000000E+09;1.080096181505762E-01;6.463377894524838E-01;1.080096181505762E-01;6.463377894524838E-01;
1.202500000000000E+09;1.380405235610603E-01;6.388739394778433E-01;1.380405235610603E-01;6.388739394778433E-01;
1.214750000000000E+09;1.678447588665035E-01;6.305129026287249E-01;1.678447588665035E-01;6.305129026287249E-01;
1.227000000000000E+09;1.975239250236636E-01;6.208893118309574E-01;1.975239250236636E-01;6.208893118309574E-01;
1.239250000000000E+09;2.268189979906401E-01;6.092251358007603E-01;2.268189979906401E-01;6.092251358007603E-01;
1.251500000000000E+09;2.554694741573867E-01;5.961929364415762E-01;2.554694741573867E-01;5.961929364415762E-01;
1.263750000000000E+09;2.832499292467154E-01;5.818577584227247E-01;2.832499292467154E-01;5.818577584227247E-01;
1.276000000000000E+09;3.100162446927544E-01;5.660585222682727E-01;3.100162446927544E-01;5.660585222682727E-01;
1.288250000000000E+09;3.357770161073901E-01;5.493543788656220E-01;3.357770161073901E-01;5.493543788656220E-01;
1.300500000000000E+09;3.607968407534555E-01;5.318858814101654E-01;3.607968407534555E-01;5.318858814101654E-01;
1.312750000000000E+09;3.848262187899033E-01;5.134812182102632E-01;3.848262187899033E-01;5.134812182102632E-01;
1.325000000000000E+09;4.082159472246987E-01;4.939172874939295E-01;4.082159472246987E-01;4.939172874939295E-01;
1.337250000000000E+09;4.308946038131312E-01;4.734351794805061E-01;4.308946038131312E-01;4.734351794805061E-01;
1.349500000000000E+09;4.527446272624244E-01;4.517645598884344E-01;4.527446272624244E-01;4.517645598884344E-01;
1.361750000000000E+09;4.733547498434860E-01;4.286957043415903E-01;4.733547498434860E-01;4.286957043415903E-01;
1.374000000000000E+09;4.929022496528541E-01;4.048084210781272E-01;4.929022496528541E-01;4.048084210781272E-01;
1.386250000000000E+09;5.110766290442029E-01;3.803160316529398E-01;5.110766290442029E-01;3.803160316529398E-01;
1.398500000000000E+09;5.280894341249646E-01;3.546723465098964E-01;5.280894341249646E-01;3.546723465098964E-01;
1.410750000000000E+09;5.438055613670315E-01;3.287367794219647E-01;5.438055613670315E-01;3.287367794219647E-01;
1.423000000000000E+09;5.582714865111673E-01;3.023458504754105E-01;5.582714865111673E-01;3.023458504754105E-01;
1.435250000000000E+09;5.716646529895728E-01;2.755160182169283E-01;5.716646529895728E-01;2.755160182169283E-01;
1.447500000000000E+09;5.839220690391150E-01;2.475175630322999E-01;5.839220690391150E-01;2.475175630322999E-01;
1.459750000000000E+09;5.951813740949197E-01;2.194945972204390E-01;5.951813740949197E-01;2.194945972204390E-01;
1.472000000000000E+09;6.050560925818640E-01;1.903983555026040E-01;6.050560925818640E-01;1.903983555026040E-01;
1.484250000000000E+09;6.133163837723798E-01;1.609214901111455E-01;6.133163837723798E-01;1.609214901111455E-01;
1.496500000000000E+09;6.203271309668660E-01;1.310730959292087E-01;6.203271309668660E-01;1.310730959292087E-01;
1.508750000000000E+09;6.255778545264746E-01;1.009590588016507E-01;6.255778545264746E-01;1.009590588016507E-01;
1.521000000000000E+09;6.294258022680359E-01;7.086058572932505E-02;6.294258022680359E-01;7.086058572932505E-02;
1.533250000000000E+09;6.317969179330241E-01;4.037626241550928E-02;6.317969179330241E-01;4.037626241550928E-02;
1.545500000000000E+09;6.329319043570765E-01;1.040067089842126E-02;6.329319043570765E-01;1.040067089842126E-02;
1.557750000000000E+09;6.328461724844942E-01;-1.959435852285572E-02;6.328461724844942E-01;-1.959435852285572E-02;
1.570000000000000E+09;6.315787170872672E-01;-4.993848982820670E-02;6.315787170872672E-01;-4.993848982820670E-02;
1.582250000000000E+09;6.292661472825541E-01;-8.039344993893455E-02;6.292661472825541E-01;-8.039344993893455E-02;
1.594500000000000E+09;6.250166323498501E-01;-1.111400063527839E-01;6.250166323498501E-01;-1.111400063527839E-01;
1.606750000000000E+09;6.189433933042391E-01;-1.415602356299607E-01;6.189433933042391E-01;-1.415602356299607E-01;
1.619000000000000E+09;6.111456017397566E-01;-1.715951680187743E-01;6.111456017397566E-01;-1.715951680187743E-01;
1.631250000000000E+09;6.020210886104130E-01;-2.007166608055889E-01;6.020210886104130E-01;-2.007166608055889E-01;
1.643500000000000E+09;5.920046961807686E-01;-2.290979260204721E-01;5.920046961807686E-01;-2.290979260204721E-01;
1.655750000000000E+09;5.808933682033108E-01;-2.569469831125309E-01;5.808933682033108E-01;-2.569469831125309E-01;
1.668000000000000E+09;5.686634902033378E-01;-2.849023231850408E-01;5.686634902033378E-01;-2.849023231850408E-01;
1.680250000000000E+09;5.552139040778830E-01;-3.126385040005671E-01;5.552139040778830E-01;-3.126385040005671E-01;
1.692500000000000E+09;5.401638524152835E-01;-3.400683344132959E-01;5.401638524152835E-01;-3.400683344132959E-01;
